title,genres,keywords,overview
The Matrix,Action Science Fiction,artificial reality hacker rebellion,A computer hacker discovers the world is a simulation and joins a rebellion against intelligent machines.
Inception,Action Science Fiction,shared dream subconscious heist,A skilled thief enters layered dreams to plant an idea inside a target's mind.
Interstellar,Adventure Drama Science Fiction,space wormhole survival nasa,A team of explorers travels through a wormhole in search of humanity's next home.
The Martian,Adventure Drama Science Fiction,mars astronaut survival rescue,An astronaut stranded on Mars uses science and resilience to survive until rescue.
Gravity,Drama Science Fiction,space survival orbit disaster,Two astronauts fight to survive after debris destroys their shuttle in orbit.
Blade Runner 2049,Science Fiction Thriller,replicant dystopia future investigation,A young blade runner uncovers a mystery that threatens the fragile balance of society.
Arrival,Drama Science Fiction,alien linguistics communication first contact,A linguist works with the military to communicate with alien visitors and understand their purpose.
Tenet,Action Thriller Science Fiction,time inversion espionage entropy,A secret agent manipulates time inversion to stop a global catastrophe.
Passengers,Drama Romance Science Fiction,spaceship isolation colony sleep,Two passengers wake up early on a long interstellar voyage and must face isolation together.
Oblivion,Action Adventure Science Fiction,post apocalyptic drone memory,A repair technician on a devastated Earth begins to question his mission and identity.
